NR	NAME	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10
1	Volker	10	10	9	10	10	10	9	10	10	9
2	Sigrid	10	10	4	10	5	5	4	5	4	3
3	Elmar	5	4	10	5	10	4	10	5	3	10
4	Peter	10	10	9	10	10	10	9	10	10	9
5	Otto	4	3	5	4	3	10	4	10	10	5
6	Elke	10	10	4	10	5	4	3	4	5	5
7	Sarah	4	4	5	5	4	10	5	10	10	6
8	Peter	4	5	3	4	5	10	4	10	10	4
9	Gudrun	4	5	10	4	10	5	10	4	3	10
10	Siglinde	10	10	4	10	5	4	4	5	4	4
11	Werner	4	5	10	5	10	4	10	4	5	10
12	Achim	10	10	9	10	10	9	9	10	10	10
13	Dieter	6	5	4	3	5	10	5	10	10	5
14	Boris	4	5	10	4	10	5	10	3	4	10
15	Silke	10	10	9	10	10	9	10	9	10	10
16	Clara	6	5	3	4	4	10	4	10	10	5
17	Manfred	10	10	5	10	4	5	4	3	4	5
18	Richard	4	5	10	4	10	4	10	4	4	10
